Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [[[[Lorg.junit.rules.RuleChain;,2,2,9.484066767830046E-5,9.484066767830046E-5
class [Lorg.junit.Assert;,2,2,9.484066767830046E-5,9.484066767830046E-5
class [[Lorg.junit.rules.RuleChain;,94,6,0.004457511380880122,2.845220030349014E-4
class org.elasticsearch.index.analysis.KuromojiAnalysisTests,16206,16206,0.7684939301972686,0.7684939301972686
class [[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,2,2,9.484066767830046E-5,9.484066767830046E-5
class [[[[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,27,3,0.0012803490136570562,1.422610015174507E-4
class [[[[D,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[[[Ljava.util.concurrent.ExecutorService;,40,9,0.0018968133535660092,4.2678300455235206E-4
class [[[[[Lorg.junit.rules.RuleChain;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[[[B,1,1,4.742033383915023E-5,4.742033383915023E-5
class java.lang.Boolean,3400,2,0.16122913505311076,9.484066767830046E-5
class [[Ljava.lang.reflect.GenericDeclaration;,2,2,9.484066767830046E-5,9.484066767830046E-5
class [[Ljava.lang.Class;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [Ljava.lang.CharSequence;,1,1,4.742033383915023E-5,4.742033383915023E-5
class [[S,95,12,0.004504931714719272,5.690440060698028E-4
class java.lang.Class,639,17,0.030301593323216997,8.061456752655538E-4
class [Ljava.lang.reflect.AnnotatedElement;,9,3,4.2678300455235206E-4,1.422610015174507E-4
class [[Ljava.util.Locale;,22,4,0.001043247344461305,1.8968133535660092E-4
class [Ljava.lang.reflect.Type;,177,5,0.00839339908952959,2.3710166919575115E-4
class [[B,31,5,0.0014700303490136572,2.3710166919575115E-4
class java.util.ArrayList$SubList,661,253,0.0313448406676783,0.011997344461305008
class [[Lorg.elasticsearch.test.ESTestCase;,13,8,6.164643399089529E-4,3.7936267071320183E-4
class [[[I,5,3,2.3710166919575115E-4,1.422610015174507E-4
class [Ljava.lang.Iterable;,28,2,0.0013277693474962064,9.484066767830046E-5
class [[[[[[Ljava.util.concurrent.ExecutorService;,3,3,1.422610015174507E-4,1.422610015174507E-4
class [Lorg.apache.lucene.search.QueryCachingPolicy;,35,6,0.0016597116843702579,2.845220030349014E-4
class org.apache.lucene.util.LuceneTestCase$1,89,1,0.00422040971168437,4.742033383915023E-5
class [[[[[Ljava.lang.String;,5,4,2.3710166919575115E-4,1.8968133535660092E-4
class [[[Ljava.util.List;,20,3,9.484066767830046E-4,1.422610015174507E-4
class [[[Ljava.util.Locale;,3,1,1.422610015174507E-4,4.742033383915023E-5
class [[[D,5,4,2.3710166919575115E-4,1.8968133535660092E-4
class [[D,33,10,0.0015648710166919575,4.742033383915023E-4
class [Lorg.junit.runners.model.Statement;,378,2,0.017924886191198787,9.484066767830046E-5
class [[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,6,4,2.845220030349014E-4,1.8968133535660092E-4
class [[[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,27,3,0.0012803490136570562,1.422610015174507E-4
