Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [[Ljava.lang.Class;,28,2,0.0012322316595519958,8.801654711085684E-5
class [[Lorg.junit.rules.RuleChain;,53,2,0.002332438498437706,8.801654711085684E-5
class [Ljava.lang.reflect.AnnotatedElement;,5,4,2.200413677771421E-4,1.7603309422171368E-4
class [[[[[Ljava.util.concurrent.ExecutorService;,10,4,4.400827355542842E-4,1.7603309422171368E-4
class [[[Ljava.util.List;,40,3,0.0017603309422171368,1.3202482066628526E-4
class [[[Lorg.junit.Assert;,3,3,1.3202482066628526E-4,1.3202482066628526E-4
class [[[Ljava.util.concurrent.ExecutorService;,84,8,0.0036966949786559873,3.5206618844342737E-4
class [[[[[[J,1,1,4.400827355542842E-5,4.400827355542842E-5
class [[[[[J,3,3,1.3202482066628526E-4,1.3202482066628526E-4
class [Ljava.lang.String;,449,56,0.019759714826387362,0.0024644633191039916
class [[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,61,9,0.0026845046868811335,3.960744619988558E-4
class [Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,15,15,6.601241033314263E-4,6.601241033314263E-4
class [[[J,80,3,0.0035206618844342737,1.3202482066628526E-4
class java.lang.Class,473,24,0.020815913391717643,0.001056198565330282
class [[[[Lorg.elasticsearch.test.ESTestCase;,1,1,4.400827355542842E-5,4.400827355542842E-5
class [[Lorg.elasticsearch.test.ESTestCase;,15,9,6.601241033314263E-4,3.960744619988558E-4
class [[[S,73,5,0.0032126039695462745,2.200413677771421E-4
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,200,6,0.008801654711085684,2.640496413325705E-4
class [Ljava.lang.Class;,38,3,0.00167231439510628,1.3202482066628526E-4
class [[[Ljava.lang.Class;,2,1,8.801654711085684E-5,4.400827355542842E-5
class [[[C,7,5,3.0805791488799895E-4,2.200413677771421E-4
class org.apache.lucene.store.MockDirectoryWrapper$Throttling,209,3,0.00919772917308454,1.3202482066628526E-4
class [[[[[[[Ljava.io.Serializable;,9,2,3.960744619988558E-4,8.801654711085684E-5
class org.junit.rules.RuleChain,44180,27011,1.9442855256788276,1.1887074770056771
class [[D,134,9,0.005897108656427408,3.960744619988558E-4
class [Ljava.util.List;,144,4,0.006337191391981693,1.7603309422171368E-4
class [Ljava.util.Set;,148,1,0.006513224486203406,4.400827355542842E-5
class [[[[C,1,1,4.400827355542842E-5,4.400827355542842E-5
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,7003,5,0.3081899397086652,2.200413677771421E-4
class [[[Lorg.junit.rules.RuleChain;,5,2,2.200413677771421E-4,8.801654711085684E-5
class [[[[[S,5,3,2.200413677771421E-4,1.3202482066628526E-4
class [[[Ljava.lang.String;,58,7,0.0025524798662148484,3.0805791488799895E-4
class [Ljava.lang.reflect.Type;,2,2,8.801654711085684E-5,8.801654711085684E-5
class [[[Ljava.util.Locale;,5,4,2.200413677771421E-4,1.7603309422171368E-4
class [[I,56,9,0.0024644633191039916,3.960744619988558E-4
class [[Ljava.lang.String;,92,11,0.004048761167099415,4.8409100910971263E-4
class [[Ljava.util.List;,32,5,0.0014082647537737095,2.200413677771421E-4
class [[[[F,1,1,4.400827355542842E-5,4.400827355542842E-5
