Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.Object,1,1,3.884098500737979E-5,3.884098500737979E-5
class com.squareup.okhttp.internal.bytes.Deadline,100,1,0.0038840985007379787,3.884098500737979E-5
class java.lang.Boolean,183533,2,7.128602501359435,7.768197001475957E-5
class java.lang.Class,7788,3,0.30249359123747377,1.1652295502213937E-4
class com.squareup.okhttp.internal.bytes.Deadline$1,25644,1,0.9960382195292473,3.884098500737979E-5
