Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,16121,2,1.0453926463912846,1.296932754036703E-4
class org.elasticsearch.common.settings.IndexScopedSettings$$Lambda$51/1486371051,15220,1,0.9869658258219312,6.484663770183515E-5
class java.lang.Object,1,1,6.484663770183515E-5,6.484663770183515E-5
class java.util.Collections$UnmodifiableSet,14446,1,0.9367745282407107,6.484663770183515E-5
class org.elasticsearch.common.settings.IndexScopedSettings,40825,1,2.6473639841774204,6.484663770183515E-5
class org.elasticsearch.common.settings.Setting$Property,21569,1,1.3986771285908826,6.484663770183515E-5
class java.lang.Boolean,25796,1,1.6727838661565397,6.484663770183515E-5
class java.lang.Class,1006,5,0.06523571752804617,3.242331885091758E-4
