Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class java.lang.String,1,1,0.2,0.2
class java.lang.Object,1,1,0.2,0.2
class java.lang.Class,2,2,0.4,0.4
class java.util.concurrent.atomic.AtomicLong,1,1,0.2,0.2
