Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,40,4,0.0017777777777777779,1.7777777777777779E-4
class [Lorg.junit.Assert;,2,2,8.888888888888889E-5,8.888888888888889E-5
class [[[[[[[Ljava.util.concurrent.ExecutorService;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [Ljava.lang.Class;,160,5,0.0071111111111111115,2.2222222222222223E-4
class [Ljava.io.Serializable;,22,1,9.777777777777777E-4,4.4444444444444447E-5
class [[[[Ljava.lang.String;,63,5,0.0028,2.2222222222222223E-4
class [[[[Lorg.apache.lucene.search.QueryCachingPolicy;,4,3,1.7777777777777779E-4,1.3333333333333334E-4
class [[[Lorg.elasticsearch.index.analysis.KuromojiAnalysisTests;,15,2,6.666666666666666E-4,8.888888888888889E-5
class [[[[[Ljava.util.concurrent.ExecutorService;,37,4,0.0016444444444444445,1.7777777777777779E-4
class [[[[[[Ljava.util.concurrent.ExecutorService;,14,4,6.222222222222223E-4,1.7777777777777779E-4
class [[[[F,43,6,0.001911111111111111,2.666666666666667E-4
class [[[Ljava.util.Set;,6,3,2.666666666666667E-4,1.3333333333333334E-4
class [B,4842,70,0.2152,0.003111111111111111
class [[[Ljava.lang.String;,231,4,0.010266666666666667,1.7777777777777779E-4
class [Ljava.lang.Object;,14,14,6.222222222222223E-4,6.222222222222223E-4
class [[[Ljava.lang.Class;,4,2,1.7777777777777779E-4,8.888888888888889E-5
class [Ljava.lang.String;,6858,12,0.3048,5.333333333333334E-4
class java.lang.Class,1295,21,0.057555555555555554,9.333333333333333E-4
class [[S,180,15,0.008,6.666666666666666E-4
class [I,7857,56,0.3492,0.002488888888888889
class [[[[D,13,8,5.777777777777778E-4,3.5555555555555557E-4
class [[Lorg.apache.lucene.search.QueryCachingPolicy;,50,6,0.0022222222222222222,2.666666666666667E-4
class [[[Ljava.util.List;,4,2,1.7777777777777779E-4,8.888888888888889E-5
class [[I,18,4,8.0E-4,1.7777777777777779E-4
class [Lorg.elasticsearch.test.ESTestCase;,132,38,0.005866666666666667,0.0016888888888888889
class [[Ljava.lang.reflect.AnnotatedElement;,9,1,4.0E-4,4.4444444444444447E-5
class [[Ljava.lang.reflect.Type;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [Ljava.lang.reflect.AnnotatedElement;,48,3,0.0021333333333333334,1.3333333333333334E-4
class [[J,109,9,0.004844444444444445,4.0E-4
class [[Ljava.util.Locale;,1,1,4.4444444444444447E-5,4.4444444444444447E-5
class [[[[[Ljava.util.Collection;,2,2,8.888888888888889E-5,8.888888888888889E-5
class [[[F,103,10,0.004577777777777778,4.4444444444444447E-4
class [[[Ljava.lang.reflect.AnnotatedElement;,2,1,8.888888888888889E-5,4.4444444444444447E-5
class [[Ljava.util.Collection;,70,4,0.003111111111111111,1.7777777777777779E-4
