Classes of objects created,Number of objects created,Number of unique objects manipulated,Number of objects created (Normalized),Number of unique objects manipulated (Normalized)
class [Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,159,5,0.006793129966675211,2.13620439203623E-4
class [Lorg.elasticsearch.common.logging.ESLogger;,32,29,0.0013671708109031873,0.0012389985473810134
class [[[D,10,5,4.27240878407246E-4,2.13620439203623E-4
class org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest,22680,22680,0.968982312227634,0.968982312227634
class [[[B,3,3,1.281722635221738E-4,1.281722635221738E-4
class [[[J,19,6,8.117576689737674E-4,2.563445270443476E-4
class [[[Lorg.junit.rules.TestRule;,24,5,0.0010253781081773904,2.13620439203623E-4
class [[Lorg.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest;,7,7,2.990686148850722E-4,2.990686148850722E-4
class java.lang.Integer,1,1,4.27240878407246E-5,4.27240878407246E-5
class [[Ljava.lang.CharSequence;,3,3,1.281722635221738E-4,1.281722635221738E-4
class [[Ljava.util.concurrent.ExecutorService;,215,11,0.009185678885755789,4.699649662479706E-4
class [[[[Ljava.lang.String;,66,5,0.0028197897974878237,2.13620439203623E-4
class [[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,132,6,0.005639579594975647,2.563445270443476E-4
class [[[[[Ljava.lang.Class;,4,1,1.708963513628984E-4,4.27240878407246E-5
class [[[Lorg.apache.lucene.util.TestRuleIgnoreAfterMaxFailures;,32,4,0.0013671708109031873,1.708963513628984E-4
class [[[[[Ljava.util.concurrent.ExecutorService;,1,1,4.27240878407246E-5,4.27240878407246E-5
class [I,5294,175,0.22618132102879604,0.007476715372126805
class [[[[Ljava.lang.Class;,6,2,2.563445270443476E-4,8.54481756814492E-5
class java.lang.Class,734,23,0.03135948047509186,9.826540203366659E-4
class [[[[D,4,1,1.708963513628984E-4,4.27240878407246E-5
class java.util.Locale,314,23,0.013415363581987524,9.826540203366659E-4
class [[[[[Ljava.lang.String;,18,5,7.690335811330429E-4,2.13620439203623E-4
class [[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,494,4,0.021105699393317953,1.708963513628984E-4
class [Ljava.lang.Iterable;,6,3,2.563445270443476E-4,1.281722635221738E-4
class [[[[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,27,5,0.0011535503716995643,2.13620439203623E-4
class [[C,52,13,0.002221652567717679,5.554131419294198E-4
class [[[[[[Lorg.apache.lucene.store.MockDirectoryWrapper$Throttling;,60,6,0.002563445270443476,2.563445270443476E-4
class java.util.HashSet,1622,512,0.0692984704776553,0.021874732974450996
class [[Ljava.util.Locale;,60,5,0.002563445270443476,2.13620439203623E-4
class [[Ljava.lang.String;,215,11,0.009185678885755789,4.699649662479706E-4
class [[Lorg.junit.rules.TestRule;,47,16,0.002008032128514056,6.835854054515936E-4
class [[[C,13,6,5.554131419294198E-4,2.563445270443476E-4
class [[[Ljava.lang.Class;,28,3,0.0011962744595402888,1.281722635221738E-4
